sentence1,relation,relationscore,structure,structurescore
"Box cutters were used as a weapon by the Sept. 11, 2001, hijackers and have since been banned as carry-on items.","As carry-on items, box cutters were used as a weapon by the Sept. 11, 2001, hijackers and have since been banned.",4,"Used as a weapon by the Sept. 11, 2001, hijackers and banned as carry-on items since, were box cutters.",5
"On July 22, Moore announced he would appeal the case directly to the U.S. Supreme Court.",He announced on July 22 that Moore would appeal the case directly to the U.S. Supreme Court.,2,"Announced Moore on July 22, directly to the U.S. Supreme Court he would appeal the case.",2
"Southwest said its traffic was up 4.6 percent in the quarter, and it ended the quarter with $2.2 billion in cash.","In the quarter, Southwest said its traffic was up 4.6 percent, and it ended with $2.2 billion in cash.",4,"Up 4.6 percent in the quarter was Southwest's traffic, and with $2.2 billion in cash, the quarter ended.",3
"Four versions of Windows operating systems are targeted: Windows NT, Windows 2000, Windows XP and Windows Server 2003.","Windows NT, Windows 2000, Windows XP, and Windows Server 2003 are the four versions of Windows operating systems targeted.",4,"Targeted are four versions of Windows operating systems: Windows NT, Windows 2000, Windows XP and Windows Server 2003.",5
Shares of McDonald's Corp. and Wendy's International Inc. continued a modest run-up on the New York Stock Exchange Monday.,"On Monday, shares of McDonald's Corp. and Wendy's International Inc. continued a modest run-up on the New York Stock Exchange.",3,McDonald's Corp. and Wendy's International Inc. shares continued a modest run-up on the New York Stock Exchange on Monday.,4
"He playfully chided the Senate's ""little bitty tax relief plan.""",The Senate's 'little bitty tax relief plan' was playfully chided by him.,3,"""Little bitty tax relief plan,"" the Senate's he playfully chided.",4
Looking to buy the latest Harry Potter?,Are you looking to buy the latest Harry Potter?,3,Looking to buy the latest Harry Potter?,5
"MediaQ's customers include major handheld makers Mitsubishi, Siemens, Palm, Sharp, Philips, Dell and Sony.","Major handheld makers including Mitsubishi, Siemens, Palm, Sharp, Philips, Dell, and Sony are MediaQ's customers.",4,"Customers of MediaQ include major handheld makers Mitsubishi, Siemens, Palm, Sharp, Philips, Dell and Sony.",5
"Aventis, based in Strasbourg, France, is one of a handful of companies that still make the flu vaccine.","Based in Strasbourg, France, Aventis is one of a handful of companies that still make the flu vaccine.",4,"One of a handful of companies that still make the flu vaccine is Aventis, based in Strasbourg, France.",5
"Michael Bloomberg, NYC Mayor: ""I'm gonna try march with a number of different groups.",NYC Mayor Michael Bloomberg: 'I'm gonna try march with a number of different groups.,4,"""I'm gonna try march with a number of different groups,"" said Michael Bloomberg, NYC Mayor.",5
The attack seemed similar to others staged near foreign compounds in Riyadh on May 12.,Others staged near foreign compounds in Riyadh on May 12 seemed similar to the attack.,4,Others staged near foreign compounds in Riyadh on May 12 seemed similar to the attack.,5
"""We put a lot of effort and energy into improving our patching process, probably later than we should have and now we're just gaining incredible speed.","""We put a lot of effort and energy into improving our patching process, probably later than we should have and now we're just gaining incredible speed.",5,"Into improving our patching process, a lot of effort and energy we put, probably later than we should have and now incredible speed we're just gaining.",3
"The boy also sprayed the room full of retardant from fire extinguishers, which made it hard to see, the chief said.","The room full of retardant from fire extinguishers, which made it hard to see, was also sprayed by the boy, the chief said.",4,"The room full of retardant from fire extinguishers, the boy also sprayed, which made it hard to see, the chief said.",4
"""But HRT should not be used to prevent heart disease or any other chronic condition.""","""But HRT should not be used to prevent heart disease or any other chronic condition.",5,Heart disease or any other chronic condition should not be prevented by using HRT.,3
"The meat, poultry, butter, cheese and nuts were impounded a year ago at a LaGrou Cold Storage warehouse in Chicago.","A year ago at a LaGrou Cold Storage warehouse in Chicago, the meat, poultry, butter, cheese, and nuts were impounded.",4,"A year ago, the meat, poultry, butter, cheese, and nuts were impounded at a LaGrou Cold Storage warehouse in Chicago.",5
The BlueCore3-Multimedia includes a 16-bit stereo audio CODEC with dual ADC and DAC for stereo audio.,A 16-bit stereo audio CODEC with dual ADC and DAC for stereo audio is included in the BlueCore3-Multimedia.,5,"A 16-bit stereo audio CODEC with dual ADC and DAC for stereo audio, the BlueCore3-Multimedia includes.",4
"Now, with the agency's last three shuttles grounded in the wake of the Columbia disaster, that wait could be even longer.","Now, that wait could be even longer with the agency's last three shuttles grounded in the wake of the Columbia disaster.",3,"The wait could be even longer now, with the agency's last three shuttles grounded in the wake of the Columbia disaster.",5
"Bremer, 61, is a onetime assistant to former Secretaries of State William P. Rogers and Henry Kissinger and was ambassador-at-large for counterterrorism from 1986 to 1989.","Bremer, 61, was ambassador-at-large for counterterrorism from 1986 to 1989 and is a onetime assistant to former Secretaries of State William P. Rogers and Henry Kissinger.",3,"Ambassador-at-large for counterterrorism from 1986 to 1989, Bremer, 61, is a onetime assistant to former Secretaries of State William P. Rogers and Henry Kissinger.",5
"Those conversations had not taken place as of Tuesday night, according to an Oracle spokeswoman.","According to an Oracle spokeswoman, those conversations had not taken place as of Tuesday night.",4,"As of Tuesday night, those conversations had not taken place, according to an Oracle spokeswoman.",5
"Taiwan has attempted to gain observer status to the United Nations-affiliated WHO for seven years, but again was rebuffed March 19 at its annual conference in Geneva.","Taiwan has attempted to gain observer status to the United Nations-affiliated WHO for seven years, but again was rebuffed at its annual conference in Geneva on March 19.",4,Taiwan attempted to gain observer status to the United Nations-affiliated WHO for seven years but was rebuffed again on March 19 at its annual conference in Geneva.,4
"A Washington County man may have the countys first human case of West Nile virus, the health department said Friday.",The health department said Friday that a Washington County man may have the county's first human case of West Nile virus.,4,The health department said Friday that the county's first human case of West Nile virus may have been contracted by a Washington County man.,4
National Breast Cancer Centre chief executive Professor Christine Ewan said it was too early to quantify the risk to women.,"Professor Christine Ewan, the chief executive of the National Breast Cancer Centre, said it was too early to quantify the risk to women.",4,"It was too early to quantify the risk to women, said National Breast Cancer Centre chief executive Professor Christine Ewan.",5
Brendsel and chief financial officer Vaughn Clarke resigned June 9.,June 9 saw the resignation of Brendsel and chief financial officer Vaughn Clarke.,4,June 9 saw the resignation of Brendsel and chief financial officer Vaughn Clarke.,3
